[03:40:43] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[03:40:43] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[03:40:43] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[03:40:43] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[03:40:43] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[03:40:44] [Server thread/INFO]: Starting minecraft server version 1.14.2
[03:40:44] [Server thread/WARN]: To start the server with more ram, launch it as "java -Xmx1024M -Xms1024M -jar minecraft_server.jar"
[03:40:44] [Server thread/INFO]: Loading properties
[03:40:44] [Server thread/INFO]: Default game type: SURVIVAL
[03:40:44] [Server thread/INFO]: Generating keypair
[03:40:44] [Server console handler/ERROR]: Exception handling console input
java.io.IOException: 控制代碼無效。
	at java.io.FileInputStream.readBytes(Native Method) ~[?:1.8.0_211]
	at java.io.FileInputStream.read(Unknown Source) ~[?:1.8.0_211]
	at java.io.BufferedInputStream.read1(Unknown Source) ~[?:1.8.0_211]
	at java.io.BufferedInputStream.read(Unknown Source) ~[?:1.8.0_211]
	at sun.nio.cs.StreamDecoder.readBytes(Unknown Source) ~[?:1.8.0_211]
	at sun.nio.cs.StreamDecoder.implRead(Unknown Source) ~[?:1.8.0_211]
	at sun.nio.cs.StreamDecoder.read(Unknown Source) ~[?:1.8.0_211]
	at java.io.InputStreamReader.read(Unknown Source) ~[?:1.8.0_211]
	at java.io.BufferedReader.fill(Unknown Source) ~[?:1.8.0_211]
	at java.io.BufferedReader.readLine(Unknown Source) ~[?:1.8.0_211]
	at java.io.BufferedReader.readLine(Unknown Source) ~[?:1.8.0_211]
	at ug$2.run(SourceFile:109) [server.jar:?]
[03:40:44] [Server thread/INFO]: Starting Minecraft server on *:25565
[03:40:44] [Server thread/INFO]: Using default channel type
[03:40:44] [Server thread/INFO]: Preparing level "world"
[03:40:45] [Server thread/INFO]: Found new data pack vanilla, loading it automatically
[03:40:45] [Server thread/INFO]: Reloading ResourceManager: Default
[03:40:46] [Server thread/INFO]: Loaded 6 recipes
[03:40:47] [Server thread/INFO]: Loaded 811 advancements
[03:40:59] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[03:41:00] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[03:41:00] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[03:41:00] [Server-Worker-5/INFO]: Preparing spawn area: 0%
[03:41:01] [Server-Worker-2/INFO]: Preparing spawn area: 1%
[03:41:01] [Server-Worker-3/INFO]: Preparing spawn area: 2%
[03:41:02] [Server-Worker-7/INFO]: Preparing spawn area: 2%
[03:41:02] [Server-Worker-3/INFO]: Preparing spawn area: 3%
[03:41:03] [Server-Worker-2/INFO]: Preparing spawn area: 4%
[03:41:03] [Server-Worker-4/INFO]: Preparing spawn area: 5%
[03:41:04] [Server-Worker-5/INFO]: Preparing spawn area: 5%
[03:41:04] [Server-Worker-6/INFO]: Preparing spawn area: 5%
[03:41:05] [Server-Worker-2/INFO]: Preparing spawn area: 6%
[03:41:05] [Server-Worker-1/INFO]: Preparing spawn area: 7%
[03:41:06] [Server-Worker-3/INFO]: Preparing spawn area: 8%
[03:41:06] [Server-Worker-5/INFO]: Preparing spawn area: 9%
[03:41:07] [Server-Worker-4/INFO]: Preparing spawn area: 9%
[03:41:07] [Server-Worker-5/INFO]: Preparing spawn area: 9%
[03:41:08] [Server-Worker-3/INFO]: Preparing spawn area: 11%
[03:41:08] [Server-Worker-7/INFO]: Preparing spawn area: 11%
[03:41:09] [Server-Worker-7/INFO]: Preparing spawn area: 11%
[03:41:09] [Server-Worker-2/INFO]: Preparing spawn area: 11%
[03:41:10] [Server-Worker-1/INFO]: Preparing spawn area: 11%
[03:41:10] [Server-Worker-2/INFO]: Preparing spawn area: 11%
[03:41:11] [Server-Worker-7/INFO]: Preparing spawn area: 16%
[03:41:11] [Server-Worker-7/INFO]: Preparing spawn area: 16%
[03:41:12] [Server-Worker-2/INFO]: Preparing spawn area: 16%
[03:41:13] [Server-Worker-2/INFO]: Preparing spawn area: 16%
[03:41:13] [Server-Worker-2/INFO]: Preparing spawn area: 16%
[03:41:13] [Server-Worker-7/INFO]: Preparing spawn area: 16%
[03:41:14] [Server-Worker-4/INFO]: Preparing spawn area: 16%
[03:41:15] [Server-Worker-6/INFO]: Preparing spawn area: 18%
[03:41:15] [Server-Worker-3/INFO]: Preparing spawn area: 18%
[03:41:15] [Server-Worker-5/INFO]: Preparing spawn area: 18%
[03:41:16] [Server-Worker-3/INFO]: Preparing spawn area: 19%
[03:41:17] [Server-Worker-2/INFO]: Preparing spawn area: 20%
[03:41:17] [Server-Worker-2/INFO]: Preparing spawn area: 20%
[03:41:17] [Server-Worker-3/INFO]: Preparing spawn area: 20%
[03:41:18] [Server-Worker-2/INFO]: Preparing spawn area: 20%
[03:41:18] [Server-Worker-7/INFO]: Preparing spawn area: 20%
[03:41:19] [Server-Worker-7/INFO]: Preparing spawn area: 21%
[03:41:20] [Server-Worker-2/INFO]: Preparing spawn area: 21%
[03:41:20] [Server-Worker-5/INFO]: Preparing spawn area: 22%
[03:41:20] [Server-Worker-2/INFO]: Preparing spawn area: 22%
[03:41:21] [Server-Worker-2/INFO]: Preparing spawn area: 22%
[03:41:22] [Server-Worker-7/INFO]: Preparing spawn area: 22%
[03:41:22] [Server-Worker-5/INFO]: Preparing spawn area: 23%
[03:41:22] [Server-Worker-7/INFO]: Preparing spawn area: 23%
[03:41:23] [Server-Worker-1/INFO]: Preparing spawn area: 23%
[03:41:24] [Server-Worker-5/INFO]: Preparing spawn area: 24%
[03:41:24] [Server-Worker-4/INFO]: Preparing spawn area: 24%
[03:41:24] [Server-Worker-4/INFO]: Preparing spawn area: 24%
[03:41:25] [Server-Worker-1/INFO]: Preparing spawn area: 24%
[03:41:26] [Server-Worker-1/INFO]: Preparing spawn area: 24%
[03:41:26] [Server-Worker-4/INFO]: Preparing spawn area: 25%
[03:41:26] [Server-Worker-6/INFO]: Preparing spawn area: 25%
[03:41:27] [Server-Worker-6/INFO]: Preparing spawn area: 25%
[03:41:28] [Server-Worker-6/INFO]: Preparing spawn area: 25%
[03:41:28] [Server-Worker-2/INFO]: Preparing spawn area: 26%
[03:41:29] [Server-Worker-3/INFO]: Preparing spawn area: 26%
[03:41:29] [Server-Worker-7/INFO]: Preparing spawn area: 26%
[03:41:30] [Server-Worker-1/INFO]: Preparing spawn area: 26%
[03:41:30] [Server-Worker-6/INFO]: Preparing spawn area: 27%
[03:41:31] [Server-Worker-3/INFO]: Preparing spawn area: 27%
[03:41:31] [Server-Worker-4/INFO]: Preparing spawn area: 28%
[03:41:31] [Server-Worker-4/INFO]: Preparing spawn area: 28%
[03:41:32] [Server-Worker-4/INFO]: Preparing spawn area: 28%
[03:41:34] [Server-Worker-7/INFO]: Preparing spawn area: 29%
[03:41:34] [Server-Worker-2/INFO]: Preparing spawn area: 29%
[03:41:34] [Server-Worker-7/INFO]: Preparing spawn area: 29%
[03:41:34] [Server-Worker-2/INFO]: Preparing spawn area: 29%
[03:41:35] [Server-Worker-6/INFO]: Preparing spawn area: 30%
[03:41:35] [Server-Worker-5/INFO]: Preparing spawn area: 31%
[03:41:36] [Server-Worker-4/INFO]: Preparing spawn area: 31%
[03:41:36] [Server-Worker-2/INFO]: Preparing spawn area: 31%
[03:41:37] [Server-Worker-3/INFO]: Preparing spawn area: 32%
[03:41:38] [Server-Worker-7/INFO]: Preparing spawn area: 32%
[03:41:38] [Server-Worker-7/INFO]: Preparing spawn area: 32%
[03:41:38] [Server-Worker-1/INFO]: Preparing spawn area: 32%
[03:41:39] [Server-Worker-2/INFO]: Preparing spawn area: 33%
[03:41:39] [Server-Worker-1/INFO]: Preparing spawn area: 33%
[03:41:39] [Server-Worker-5/INFO]: Preparing spawn area: 33%
[03:41:40] [Server-Worker-5/INFO]: Preparing spawn area: 33%
[03:41:41] [Server-Worker-4/INFO]: Preparing spawn area: 34%
[03:41:41] [Server-Worker-7/INFO]: Preparing spawn area: 34%
[03:41:41] [Server-Worker-1/INFO]: Preparing spawn area: 34%
[03:41:42] [Server-Worker-6/INFO]: Preparing spawn area: 34%
[03:41:43] [Server-Worker-3/INFO]: Preparing spawn area: 35%
[03:41:43] [Server-Worker-3/INFO]: Preparing spawn area: 35%
[03:41:44] [Server-Worker-7/INFO]: Preparing spawn area: 35%
[03:41:44] [Server-Worker-7/INFO]: Preparing spawn area: 35%
[03:41:45] [Server-Worker-4/INFO]: Preparing spawn area: 36%
[03:41:46] [Server-Worker-7/INFO]: Preparing spawn area: 36%
[03:41:46] [Server-Worker-3/INFO]: Preparing spawn area: 36%
[03:41:46] [Server-Worker-7/INFO]: Preparing spawn area: 36%
[03:41:47] [Server-Worker-4/INFO]: Preparing spawn area: 37%
[03:41:47] [Server-Worker-1/INFO]: Preparing spawn area: 37%
[03:41:48] [Server-Worker-6/INFO]: Preparing spawn area: 37%
[03:41:50] [Server-Worker-7/INFO]: Preparing spawn area: 37%
[03:41:50] [Server-Worker-5/INFO]: Preparing spawn area: 37%
[03:41:50] [Server-Worker-7/INFO]: Preparing spawn area: 37%
[03:41:50] [Server-Worker-6/INFO]: Preparing spawn area: 37%
[03:41:50] [Server-Worker-7/INFO]: Preparing spawn area: 37%
[03:41:50] [Server-Worker-3/INFO]: Preparing spawn area: 40%
[03:41:51] [Server-Worker-1/INFO]: Preparing spawn area: 40%
[03:41:53] [Server-Worker-1/INFO]: Preparing spawn area: 40%
[03:41:53] [Server-Worker-7/INFO]: Preparing spawn area: 40%
[03:41:53] [Server-Worker-3/INFO]: Preparing spawn area: 40%
[03:41:53] [Server-Worker-1/INFO]: Preparing spawn area: 41%
[03:41:54] [Server-Worker-5/INFO]: Preparing spawn area: 42%
[03:41:55] [Server-Worker-4/INFO]: Preparing spawn area: 42%
[03:41:55] [Server-Worker-5/INFO]: Preparing spawn area: 42%
